,[job_title],[location],[company],[senior_level]
1343,"VP, Data Science",HBO Max,"New York, NY",yes
1344,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1345,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1346,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1347,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1348,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1349,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1350,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1351,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1352,Data Science Instructor - D & I,Elder Research Inc,"Chantilly, VA 20151",yes
1353,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1354,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1355,Lead Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",yes
1356,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1357,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1358,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1359,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1360,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1361,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
1362,Sr. Data Scientist,Tuft & Needle,Remote,yes
1363,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
1364,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1365,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1366,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1367,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1368,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1369,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1370,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
