,[job_title],[location],[company],[senior_level]
1695,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1696,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1697,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
1698,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1699,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
1700,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1701,IT Data Scientist,Qualcomm,United States,yes
1702,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1703,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1704,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1705,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1706,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1707,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1708,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1709,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1710,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1711,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1712,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1713,Head of Data Science,BioTrillion,"San Francisco, CA",yes
1714,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1715,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1716,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1717,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1718,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1719,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1720,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1721,"VP, Data Science",HBO Max,"New York, NY",yes
1722,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1723,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1724,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1725,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1726,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1727,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
1728,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
1729,IT Data Scientist,Qualcomm,United States,yes
1730,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1731,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
1732,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1733,Sr. Data Engineer,"VeracityID, Inc.","New Orleans, LA",yes
1734,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1735,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1736,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1737,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1738,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1739,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1740,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
1741,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1742,Data Scientist/Engineer,IT Synergy,"Lewis Center, OH",yes
1743,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1744,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1745,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
1746,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1747,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1748,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1749,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1750,Senior Data Engineer,Darling Consulting Group,"Newburyport, MA 01950",yes
1751,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1752,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
1753,Senior Data Scientist,Praaneel,"Pasadena, CA",yes
1754,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1755,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1756,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1757,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1758,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1759,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1760,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1761,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1762,"VP, Data Science",HBO Max,"New York, NY",yes
1763,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1764,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
