,[job_title],[parttime]
164,Data Scientist / Machine Learning Specialist,yes
165,"Data Science-Online Adjunct, Graduate Level",yes
166,Data Science Intern,yes
167,Data Science Internship,yes
168,Adjunct/Part-Time Faculty: Data Science Initiative,yes
169,Data Scientist,yes
170,"Paid Summer Intern - Undergraduate, Data Science",yes
171,Artificial Intelligence (AI) Associate - Data Scientist,yes
172,Statistician (Data Scientist),yes
173,Data Science Internship,yes
174,Data Science Internship,yes
175,Data Science Instructor Associate (Part-Time),yes
176,"Paid Summer Intern - Undergraduate, Data Science",yes
177,Data Engineer,yes
178,Data Scientist / Machine Learning Specialist,yes
179,Data Scientist Intern,yes
180,Data Science Internship,yes
181,Artificial Intelligence (AI) Associate - Data Scientist,yes
182,Data Science Internship,yes
183,Data Scientist / Machine Learning Specialist,yes
184,"Paid Summer Intern - Undergraduate, Data Science",yes
185,Data Scientist Intern,yes
186,Data Science Internship,yes
187,Data Engineer,yes
188,Data Science Intern - Summer 2020,yes
189,Internship - Data Science,yes
190,Statistician (Data Scientist),yes
191,Artificial Intelligence (AI) Associate - Data Scientist,yes
192,Data Scientist / Machine Learning Specialist,yes
193,Data Science Internship,yes
194,Data Engineer II,yes
195,Data Scientist,yes
196,Statistician (Data Scientist),yes
197,Part-Time Lecturer Data Mining/Machine Learning Online,yes
198,Internship - Data Science,yes
199,Data Science Instructor Associate (Part-Time),yes
200,Summer Intern - Data Scientist,yes
201,Data Science Internship,yes
202,Data Scientist / Machine Learning Specialist,yes
203,Artificial Intelligence (AI) Associate - Data Scientist,yes
204,Data Science Internship,yes
205,Part-Time Lecturer Data Mining/Machine Learning Online,yes
206,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
207,Data Scientist,yes
208,Student Trainee- Ops Research Data Science,yes
209,Internship - Data Science,yes
210,Statistician (Data Scientist),yes
211,Artificial Intelligence (AI) Associate - Data Scientist,yes
212,Data Science Internship,yes
213,Data Engineer,yes
214,Internship - Data Science,yes
215,"Paid Summer Intern - Undergraduate, Data Science",yes
216,Statistician (Data Scientist),yes
217,Data Scientist Intern,yes
218,Data Science Internship,yes
219,Data Scientist / Machine Learning Specialist,yes
220,Data Science Internship,yes
221,Artificial Intelligence (AI) Associate - Data Scientist,yes
222,Data Science Internship,yes
223,Statistician (Data Scientist),yes
224,Data Scientist / Machine Learning Specialist,yes
225,Data Science Instructor Associate (Part-Time),yes
226,Data Scientist Intern,yes
