,[job_title],[location],[company],[mid_level]
699,Data Analytics Scientist,Theoris,"Bradley, IL",yes
700,Intermediate Data Science Analyst,Gateway,"Indianapolis, IN 46204",yes
701,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
702,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
703,Data Scientist,Dow Technologies and Systems,"United, PA",yes
704,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
705,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
706,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
707,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
708,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
709,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
710,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
711,Data Scientist,DTE Energy,"Detroit, MI",yes
712,Data Scientist,Dow Technologies and Systems,"United, PA",yes
713,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
714,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
715,Data Scientist,Best Buy,"Richfield, MN 55423",yes
716,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
717,Data Analytics Scientist,Theoris,"Bradley, IL",yes
718,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
719,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
720,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
721,Data Scientist,Dow Technologies and Systems,"United, PA",yes
722,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
723,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
724,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
725,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
726,Data Engineer,Lutient,"Nashville, TN",yes
727,Data Analytics Scientist,Theoris,"Bradley, IL",yes
728,Data Engineer,Waterstone Mortgage Corporation,"Pewaukee, WI",yes
729,Data Science Analyst,SparkCognition,"Austin, TX 78759 (Arboretum area)",yes
730,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
731,Data Scientist,Dow Technologies and Systems,"United, PA",yes
732,Data Scientist,DTE Energy,"Detroit, MI",yes
733,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
734,Data Engineer,FutureSoft IT,"Detroit, MI",yes
735,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
736,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
737,Data Scientist,OneMagnify,"Dearborn, MI",yes
738,Data Analytics Scientist,Theoris,"Bradley, IL",yes
739,Data Scientist,Dun & Bradstreet,"Center Valley, PA 18034",yes
740,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
741,Data Scientist,DTE Energy,"Detroit, MI",yes
742,Data Scientist,Dow Technologies and Systems,"United, PA",yes
743,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
744,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
745,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
746,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
747,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
748,Data Scientist,Best Buy,"Richfield, MN 55423",yes
749,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
750,Data Scientist,Dow Technologies and Systems,"United, PA",yes
751,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
752,Data Scientist,Best Buy,"Richfield, MN 55423",yes
753,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
754,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
755,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
756,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
757,Data Analytics Scientist,Theoris,"Bradley, IL",yes
758,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
759,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
760,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
761,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
762,Data Scientist,Dow Technologies and Systems,"United, PA",yes
763,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
764,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
765,Data Scientist,DTE Energy,"Detroit, MI",yes
766,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
767,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
768,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
769,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
770,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
771,Data Scientist,DTE Energy,"Detroit, MI",yes
772,Data Scientist,Dow Technologies and Systems,"United, PA",yes
773,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
774,Data Scientist,Best Buy,"Richfield, MN 55423",yes
775,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
776,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
777,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
778,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
779,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
780,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
781,Data Scientist,DTE Energy,"Detroit, MI",yes
782,Data Scientist,Dow Technologies and Systems,"United, PA",yes
783,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
784,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
785,Data Analytics Scientist,Theoris,"Bradley, IL",yes
786,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
787,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
788,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
789,Data Scientist,Best Buy,"Richfield, MN 55423",yes
790,Data Scientist,Dow Technologies and Systems,"United, PA",yes
791,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
792,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
793,Data Scientist,Best Buy,"Richfield, MN 55423",yes
794,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
795,Data Analytics Scientist,Theoris,"Bradley, IL",yes
796,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
797,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
798,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
799,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
800,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
801,Data Scientist,Dow Technologies and Systems,"United, PA",yes
802,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
803,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
804,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
805,Data Scientist,Best Buy,"Richfield, MN 55423",yes
806,Data Scientist,DTE Energy,"Detroit, MI",yes
807,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
808,Data Analytics Scientist,Theoris,"Bradley, IL",yes
809,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
810,Data Scientist,Dow Technologies and Systems,"United, PA",yes
811,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
812,Data Scientist,Best Buy,"Richfield, MN 55423",yes
813,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
814,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
815,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
816,Data Analytics Scientist,Theoris,"Bradley, IL",yes
817,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
818,Data Scientist,"Amazon Web Services, Inc.","Herndon, VA",yes
819,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
820,Data Scientist,Dow Technologies and Systems,"United, PA",yes
