,[job_title],[location],[company],[mid_level]
1,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
2,Data Scientist,DTE Energy,"Detroit, MI",yes
3,Data Scientist,Dow Technologies and Systems,"United, PA",yes
4,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
5,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
6,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
7,Data Analytics Scientist,Theoris,"Bradley, IL",yes
8,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
9,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
10,Data Scientist,Best Buy,"Richfield, MN 55423",yes
11,"Data Scientist, Amazon Devices","Amazon.com Services, Inc.","Seattle, WA",yes
12,Data Engineer,meQuilibrium,"Boston, MA 02298",yes
13,"Associate Scientist, Machine Learning, Data Sciences",bluebird bio,"Cambridge, MA",yes
14,Data Engineer-Big Data,Cygnet Infotech Pvt. Ltd,"Chevy Chase, MD",yes
15,Machine Learning Research Scientist,Etegent,"Beavercreek, OH 45431",yes
16,Data Engineer,Koddi,"Ann Arbor, MI",yes
17,"Federal - Data Scientist- Augusta, GA",Accenture,"Atlanta, GA 30303 (Five Points area)",yes
18,Data Scientist,Klaviyo,"Boston, MA",yes
19,Bioinformatics Data Engineer,Delfi Diagnostics,"Baltimore, MD 21205 (Orangeville area)",yes
20,Data Science Architect - Data Manufacturing,Bloomberg,"New York, NY",yes
21,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
22,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
23,Data Scientist,DTE Energy,"Detroit, MI",yes
24,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
25,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
26,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
27,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
28,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
29,Junior Data Scientist,DataSprouts,"Bloomington, IN",yes
30,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
31,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
32,Data Scientist,DTE Energy,"Detroit, MI",yes
33,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
34,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
35,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
36,Data Scientist,Dow Technologies and Systems,"United, PA",yes
37,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
38,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
39,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
40,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
41,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
42,Data Scientist,DTE Energy,"Detroit, MI",yes
43,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
44,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
45,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
46,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
47,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
48,Data Scientist,Dow Technologies and Systems,"United, PA",yes
49,Data Scientist,Best Buy,"Richfield, MN 55423",yes
50,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
51,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
52,Data Scientist,DTE Energy,"Detroit, MI",yes
53,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
54,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
55,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
56,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
57,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
58,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
59,Data Scientist,Best Buy,"Richfield, MN 55423",yes
60,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
61,Data Scientist,Dow Technologies and Systems,"United, PA",yes
62,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
63,Data Scientist,Best Buy,"Richfield, MN 55423",yes
64,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
65,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
66,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
67,Data Analytics Scientist,Theoris,"Bradley, IL",yes
68,Data Scientist-Pricing,Best Buy,"Richfield, MN 55423",yes
69,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
70,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
71,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
72,Data Scientist,DTE Energy,"Detroit, MI",yes
73,Data Scientist,Dow Technologies and Systems,"United, PA",yes
74,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
75,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
76,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
77,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
78,Data Engineer,FutureSoft IT,"Detroit, MI",yes
79,Data Analytics Scientist,Theoris,"Bradley, IL",yes
80,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
81,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
82,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
83,Data Scientist,DTE Energy,"Detroit, MI",yes
84,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
85,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
86,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
87,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
88,Junior Data Scientist,DataSprouts,"Bloomington, IN",yes
89,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
90,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
91,Data Scientist,DTE Energy,"Detroit, MI",yes
92,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
93,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
94,Data Scientist,Dow Technologies and Systems,"United, PA",yes
95,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
96,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
97,Data Science and Analytics Specialist,"Chesterfield County, VA","Chesterfield, VA",yes
98,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
99,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
100,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
101,Data Scientist,Dow Technologies and Systems,"United, PA",yes
102,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
103,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
104,Data Scientist,DTE Energy,"Detroit, MI",yes
105,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
106,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
107,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
108,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
109,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
110,Data Scientist,DTE Energy,"Detroit, MI",yes
111,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
112,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
113,Data Scientist,Dow Technologies and Systems,"United, PA",yes
114,Data Scientist,Best Buy,"Richfield, MN 55423",yes
115,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
116,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
117,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
118,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
119,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
120,Data Scientist,DTE Energy,"Detroit, MI",yes
121,Data Scientist,Dow Technologies and Systems,"United, PA",yes
122,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
123,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
124,Data Engineer,FutureSoft IT,"Detroit, MI",yes
125,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
126,Intermediate Data Science Analyst,Gateway,"Indianapolis, IN 46204",yes
127,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
128,Data Analytics Scientist,Theoris,"Bradley, IL",yes
129,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
130,Data Scientist,DTE Energy,"Detroit, MI",yes
131,Data Scientist,Dow Technologies and Systems,"United, PA",yes
132,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
133,Data Scientist,Best Buy,"Richfield, MN 55423",yes
134,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
135,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
136,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
137,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
138,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
139,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
140,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
141,Data Scientist,Dow Technologies and Systems,"United, PA",yes
142,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
143,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
144,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
145,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
146,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
147,Data Engineer,Waterstone Mortgage,"Pewaukee, WI",yes
148,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
149,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
150,Data Scientist,DTE Energy,"Detroit, MI",yes
151,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
152,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
153,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
154,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
155,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
156,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
157,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
158,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
159,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
160,Data Scientist,Dow Technologies and Systems,"United, PA",yes
161,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
162,Data Scientist,DTE Energy,"Detroit, MI",yes
163,Data Engineer,FutureSoft IT,"Detroit, MI",yes
164,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
165,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
166,Data Analytics Scientist,Theoris,"Bradley, IL",yes
167,Data Scientist,Dun & Bradstreet,"Center Valley, PA 18034",yes
168,Data Scientist,OneMagnify,"Dearborn, MI",yes
169,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
170,Data Scientist,DTE Energy,"Detroit, MI",yes
171,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
172,Data Engineer,FutureSoft IT,"Detroit, MI",yes
173,Data Scientist,Dow Technologies and Systems,"United, PA",yes
174,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
175,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
176,Data Analytics Scientist,Theoris,"Bradley, IL",yes
177,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
178,Data Scientist,Dun & Bradstreet,"Center Valley, PA 18034",yes
179,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
180,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
181,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
182,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
183,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
184,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
185,Data Scientist,DTE Energy,"Detroit, MI",yes
186,Data Science Intern,"Bertelsmann, Inc.","New York, NY 10019 (Midtown area)",yes
187,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
188,CDC Influenza Data Science Fellowship,Oak Ridge Associated Universities,"Atlanta, GA",yes
189,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
190,Data Scientist,DTE Energy,"Detroit, MI",yes
191,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
192,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
193,Data Scientist (Machine Learning),Apple,"Santa Clara Valley, CA 95014",yes
194,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
195,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
196,Data Scientist/Visualization Master,Intermedia Advertising,"Los Angeles, CA 90067",yes
197,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
198,Data Scientist,Best Buy,"Richfield, MN 55423",yes
199,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
200,Data Scientist,DTE Energy,"Detroit, MI",yes
201,Data Scientist,Dow Technologies and Systems,"United, PA",yes
202,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
203,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
204,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
205,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
206,Data Engineer,FutureSoft IT,"Detroit, MI",yes
207,Data Analytics Scientist,Theoris,"Bradley, IL",yes
208,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
209,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
210,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
211,Data Scientist,Dow Technologies and Systems,"United, PA",yes
212,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
213,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
214,Data Scientist,DTE Energy,"Detroit, MI",yes
215,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
216,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
217,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
218,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
219,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
220,Data Scientist,DTE Energy,"Detroit, MI",yes
221,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
222,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
223,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
224,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
225,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
226,Data Scientist,Best Buy,"Richfield, MN 55423",yes
227,Data Scientist (Machine Learning),Apple,"Santa Clara Valley, CA 95014",yes
228,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
229,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
230,Data Scientist,Dow Technologies and Systems,"United, PA",yes
231,Data Scientist,DTE Energy,"Detroit, MI",yes
232,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
233,Data Engineer,FutureSoft IT,"Detroit, MI",yes
234,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
235,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
236,Data Scientist,OneMagnify,"Dearborn, MI",yes
237,Data Analytics Scientist,Theoris,"Bradley, IL",yes
238,Data Scientist,Dun & Bradstreet,"Center Valley, PA 18034",yes
239,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
240,Data Scientist,DTE Energy,"Detroit, MI",yes
241,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
242,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
243,Data Scientist,Dow Technologies and Systems,"United, PA",yes
244,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
245,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
246,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
247,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
248,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
249,Data Scientist,Dow Technologies and Systems,"United, PA",yes
250,Data Scientist,DTE Energy,"Detroit, MI",yes
251,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
252,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
253,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
254,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
255,Data Engineer,FutureSoft IT,"Detroit, MI",yes
256,Data Analytics Scientist,Theoris,"Bradley, IL",yes
257,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
258,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
259,Data Scientist,DTE Energy,"Detroit, MI",yes
260,Data Scientist,Dow Technologies and Systems,"United, PA",yes
261,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
262,Data Scientist,Best Buy,"Richfield, MN 55423",yes
263,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
264,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
265,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
266,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
267,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
268,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
269,Data Scientist,DTE Energy,"Detroit, MI",yes
270,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
271,Data Scientist,Dow Technologies and Systems,"United, PA",yes
272,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
273,Data Engineer,FutureSoft IT,"Detroit, MI",yes
274,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
275,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
276,Data Science and Analytics Specialist,"Chesterfield County, VA","Chesterfield, VA",yes
277,Data Scientist,Booz Allen Hamilton,"Fayetteville, NC 28303",yes
278,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
279,Data Scientist,Dow Technologies and Systems,"United, PA",yes
280,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
281,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
282,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
283,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
284,Data Science- Support Engineer,Ericsson,"Plano, TX",yes
285,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
286,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
287,"Associate Director, Commercial Data Science",Barrington James,"Boston, MA",yes
288,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
289,Data Scientist,Dow Technologies and Systems,"United, PA",yes
290,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
291,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
292,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
293,Data Scientist,Best Buy,"Richfield, MN 55423",yes
294,Data Scientist,DTE Energy,"Detroit, MI",yes
295,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
296,Data Analytics Scientist,Theoris,"Bradley, IL",yes
297,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
298,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
299,Data Scientist,Dow Technologies and Systems,"United, PA",yes
300,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
301,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
302,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
303,Data Scientist,Best Buy,"Richfield, MN 55423",yes
304,Data Scientist,DTE Energy,"Detroit, MI",yes
305,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
306,Data Analytics Scientist,Theoris,"Bradley, IL",yes
307,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
308,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
309,Data Scientist,Dow Technologies and Systems,"United, PA",yes
310,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
311,Data Scientist,DTE Energy,"Detroit, MI",yes
312,Data Engineer,FutureSoft IT,"Detroit, MI",yes
313,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
314,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
315,Data Analytics Scientist,Theoris,"Bradley, IL",yes
316,Data Scientist,Dun & Bradstreet,"Center Valley, PA 18034",yes
317,Data Scientist,OneMagnify,"Dearborn, MI",yes
318,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
319,Data Scientist,Dow Technologies and Systems,"United, PA",yes
320,Data Scientist,DTE Energy,"Detroit, MI",yes
321,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
322,Data Scientist,Best Buy,"Richfield, MN 55423",yes
323,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
324,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
325,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
326,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
327,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
328,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
329,Data Scientist,DTE Energy,"Detroit, MI",yes
330,Data Scientist,Dow Technologies and Systems,"United, PA",yes
331,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
332,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
333,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
334,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
335,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
336,Data Scientist,Best Buy,"Richfield, MN 55423",yes
337,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
338,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
339,Data Scientist,DTE Energy,"Detroit, MI",yes
340,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
341,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
342,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
343,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
344,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
345,Data Scientist,Best Buy,"Richfield, MN 55423",yes
346,Data Scientist (Machine Learning),Apple,"Santa Clara Valley, CA 95014",yes
347,"Product Analyst, Data Science",Google,"New York, NY 10011 (Chelsea area)",yes
348,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
349,Data Scientist,DTE Energy,"Detroit, MI",yes
350,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
351,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
352,Data Scientist (Machine Learning),Apple,"Santa Clara Valley, CA 95014",yes
353,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
354,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
355,Data Scientist/Visualization Master,Intermedia Advertising,"Los Angeles, CA 90067",yes
356,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
357,Data Scientist,Best Buy,"Richfield, MN 55423",yes
358,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
359,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
360,"Assistant Director/Director I, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
361,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
362,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
363,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
364,Data Scientist,DTE Energy,"Detroit, MI",yes
365,Data Science Intern,"Bertelsmann, Inc.","New York, NY 10019 (Midtown area)",yes
366,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
367,CDC Influenza Data Science Fellowship,Oak Ridge Associated Universities,"Atlanta, GA",yes
368,Data Scientist,Dow Technologies and Systems,"United, PA",yes
369,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
370,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
371,Data Scientist,Best Buy,"Richfield, MN 55423",yes
372,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
373,Data Analytics Scientist,Theoris,"Bradley, IL",yes
374,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
375,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
376,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
377,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
378,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
379,Data Scientist,DTE Energy,"Detroit, MI",yes
380,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
381,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
382,Data Scientist,Dow Technologies and Systems,"United, PA",yes
383,Data Scientist,Best Buy,"Richfield, MN 55423",yes
384,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
