,[job_title],[location],[company],[contract]
1941,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1942,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
1943,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
1944,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
1945,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1946,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1947,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1948,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
1949,Data Scientist,Digitalogy,"New York, NY",yes
1950,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
1951,Data Engineer,FutureSoft IT,"Detroit, MI",yes
1952,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
1953,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
1954,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1955,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
1956,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1957,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
1958,Data Science Architect,Themesoft,"Mountain View, CA",yes
1959,Data Scientist,Kaav inc.,"Dublin, OH",yes
1960,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
1961,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1962,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
1963,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
1964,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
1965,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
1966,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
1967,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
1968,Machine Learning Expert,Peopleforce INC,"Salt Lake City, UT",yes
