,[job_title],[location],[company],[contract]
1,Data Scientist,Digitalogy,"New York, NY",yes
2,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
3,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
4,Data Scientist,Jnit Technologies,"Seattle, WA",yes
5,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
7,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
8,Data Scientist,Pricesenz,"Broomfield, CO",yes
9,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
10,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
11,Critical Infrastructure Risk Analyst,Knowesis Inc.,"Washington, DC 20001 (Shaw area)",yes
12,"IT Business Analyst, Retail Planning & Assortment",BICP,"Portland, OR",yes
13,System Engineer (SE) Level 1 (Data Flow),Novetta,"Annapolis, MD",yes
14,Oracle CC&B Business Analyst,Pacific Data Integrators,"San Francisco, CA",yes
15,Computer Systems Integration Analyst,TekSynap,"Richmond, VA",yes
16,Senior Foundry Program Analyst ORSA,Telum Corporation,"Fort Irwin, CA",yes
17,Lead Program Analyst- Health Policy,Mathematica Policy Research,"Chicago, IL",yes
18,Operations Analyst,Prevailance Inc,"Virginia Beach, VA 23462 (Northwest area)",yes
19,Postdoctoral Scholar Imaging Data Science Radiation Oncology,University of Washington,"Seattle, WA",yes
20,Business Analyst (Bilingual Korean/ English),"Woongjin, Inc","Fountain Valley, CA 92708",yes
21,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
22,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
23,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
24,Data Engineer,FutureSoft IT,"Detroit, MI",yes
25,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
26,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
27,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
28,Data Scientist,Pricesenz,"Broomfield, CO",yes
29,Data Scientist,Digitalogy,"New York, NY",yes
30,Data Scientist,Jnit Technologies,"Seattle, WA",yes
31,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
32,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
33,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
34,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
35,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
36,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
37,Data Scientist,Pricesenz,"Broomfield, CO",yes
38,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
39,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
40,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
41,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
42,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
43,Data Scientist,Digitalogy,"New York, NY",yes
44,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
45,Data Scientist,Pricesenz,"Broomfield, CO",yes
46,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
47,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
48,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
49,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
50,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
51,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
52,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
53,Data Scientist,Digitalogy,"New York, NY",yes
54,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
55,Data Scientist,Pricesenz,"Broomfield, CO",yes
56,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
57,Data Scientist,Jnit Technologies,"Seattle, WA",yes
58,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
59,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
60,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
61,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
62,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
63,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
64,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
65,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
66,Data Scientist,Pricesenz,"Broomfield, CO",yes
67,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
68,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
69,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
70,Data Scientist,Kaav inc.,"Dublin, OH",yes
71,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
72,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
73,Data Scientist,Digitalogy,"New York, NY",yes
74,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
75,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
76,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
77,Data Scientist,Pricesenz,"Broomfield, CO",yes
78,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
79,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
80,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
81,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
82,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
83,Data Scientist,Digitalogy,"New York, NY",yes
84,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
85,Data Scientist,Pricesenz,"Broomfield, CO",yes
86,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
87,Data Scientist,Jnit Technologies,"Seattle, WA",yes
88,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
89,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
90,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
91,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
92,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
93,Data Scientist,Digitalogy,"New York, NY",yes
94,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
95,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
96,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
97,Data Scientist,Pricesenz,"Broomfield, CO",yes
98,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
99,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
100,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
101,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
102,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
103,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
104,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
105,Data Scientist,Digitalogy,"New York, NY",yes
106,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
107,Data Engineer,FutureSoft IT,"Detroit, MI",yes
108,Data Scientist,Pricesenz,"Broomfield, CO",yes
109,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
110,Data Scientist,Jnit Technologies,"Seattle, WA",yes
111,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
112,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
113,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
114,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
115,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
116,Data Scientist,Digitalogy,"New York, NY",yes
117,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
118,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
119,Sr. Data Scientist,Microagility,"Columbus, OH",yes
120,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
121,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
122,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
123,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
124,Data Scientist,Digitalogy,"New York, NY",yes
125,Data Engineer,FutureSoft IT,"Detroit, MI",yes
126,Data Scientist,Jnit Technologies,"Seattle, WA",yes
127,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
128,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
129,Data Scientist,Pricesenz,"Broomfield, CO",yes
130,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
131,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
132,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
133,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
134,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
135,Sr. Data Scientist,Microagility,"Columbus, OH",yes
136,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
137,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
138,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
139,Data Scientist,Digitalogy,"New York, NY",yes
140,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
141,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
142,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
143,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
144,Data Engineer,FutureSoft IT,"Detroit, MI",yes
145,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
146,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
147,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
148,Sr. Data Scientist,Microagility,"Columbus, OH",yes
149,Data Engineer,Accelalpha,"Seattle, WA",yes
150,Data Scientist,Kaav inc.,"Dublin, OH",yes
151,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
152,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
153,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
154,Data Engineer,FutureSoft IT,"Detroit, MI",yes
155,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
156,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
157,Data Scientist,Pricesenz,"Broomfield, CO",yes
158,Data Scientist,Jnit Technologies,"Seattle, WA",yes
159,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
160,Data Scientist,Kaav inc.,"Dublin, OH",yes
161,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
162,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
163,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
164,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
165,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
166,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
167,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
168,Machine Learning Expert,Peopleforce INC,"Salt Lake City, UT",yes
169,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
170,Data Engineer,nygci,"Long Island, NY",yes
171,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
172,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
173,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
174,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
175,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
176,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
177,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
178,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
179,Data Scientist,Pricesenz,"Broomfield, CO",yes
180,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
181,Data Scientist,Digitalogy,"New York, NY",yes
182,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
183,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
184,Data Scientist,Jnit Technologies,"Seattle, WA",yes
185,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
186,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
187,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
188,Data Scientist,Pricesenz,"Broomfield, CO",yes
189,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
190,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
191,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
192,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
193,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
194,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
195,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
196,Data Scientist,Digitalogy,"New York, NY",yes
197,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
198,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
199,Sr. Data Scientist,Microagility,"Columbus, OH",yes
200,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
201,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
202,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
203,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
204,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
205,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
206,Data Scientist,Digitalogy,"New York, NY",yes
207,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
208,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
209,Sr. Data Scientist,Microagility,"Columbus, OH",yes
210,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
211,Data Scientist,Digitalogy,"New York, NY",yes
212,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
213,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
214,Data Scientist,Jnit Technologies,"Seattle, WA",yes
215,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
216,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
217,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
218,Data Scientist,Pricesenz,"Broomfield, CO",yes
219,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
220,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
221,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
222,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
223,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
224,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
225,Data Scientist,Digitalogy,"New York, NY",yes
226,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
227,Data Scientist,Pricesenz,"Broomfield, CO",yes
228,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
229,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
230,Data Scientist,"Alexis Networks, Inc.","Newark, NJ 07102 (Central Business District area)",yes
231,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
232,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
233,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
234,Data Scientist,Digitalogy,"New York, NY",yes
235,Data Engineer,FutureSoft IT,"Detroit, MI",yes
236,Data Scientist,Jnit Technologies,"Seattle, WA",yes
237,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
238,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
239,Data Scientist,Pricesenz,"Broomfield, CO",yes
240,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
241,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
242,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
243,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
244,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
245,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
246,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
247,Sr. Data Scientist,Microagility,"Columbus, OH",yes
248,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
249,Data Scientist,Kaav inc.,"Dublin, OH",yes
250,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
251,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
252,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
253,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
254,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
255,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
256,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
257,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
258,Sr. Data Scientist,Microagility,"Columbus, OH",yes
259,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
260,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
261,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
262,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
263,Data Engineer,FutureSoft IT,"Detroit, MI",yes
264,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
265,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
266,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
267,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
268,Data Scientist,Kaav inc.,"Dublin, OH",yes
269,Data Science Architect,Themesoft,"Mountain View, CA",yes
270,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
271,Data Scientist,Digitalogy,"New York, NY",yes
272,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
273,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
274,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
275,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
276,Data Scientist,Jnit Technologies,"Seattle, WA",yes
277,Data Scientist,Pricesenz,"Broomfield, CO",yes
278,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
279,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
280,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
281,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
282,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
283,Data Scientist,Pricesenz,"Broomfield, CO",yes
284,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
285,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
286,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
287,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
288,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
289,Data Scientist,Digitalogy,"New York, NY",yes
290,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
291,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
292,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
293,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
294,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
295,Sr. Data Scientist,Microagility,"Columbus, OH",yes
296,Data Engineer,FutureSoft IT,"Detroit, MI",yes
297,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
298,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
299,Data Scientist,Kaav inc.,"Dublin, OH",yes
300,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
301,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
302,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
303,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
304,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
305,Data Engineer,FutureSoft IT,"Detroit, MI",yes
306,Data Scientist,Kaav inc.,"Dublin, OH",yes
307,Data Engineer,Accelalpha,"Seattle, WA",yes
308,Urgent Need Data Scientist,Kaav Inc,"Dublin, OH",yes
309,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
310,Sr. Data Scientist,Microagility,"Columbus, OH",yes
311,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
312,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
313,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
314,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
315,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
316,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
317,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
318,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
319,Data Scientist,Jnit Technologies,"Seattle, WA",yes
320,Data Scientist,Kaav inc.,"Dublin, OH",yes
321,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
322,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
323,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
324,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
325,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
326,Sr. Data Scientist,Microagility,"Columbus, OH",yes
327,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
328,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
329,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
330,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
331,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
332,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
333,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
334,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
335,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
336,Sr. Data Scientist,Microagility,"Columbus, OH",yes
337,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
338,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
339,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
340,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
341,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
342,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
343,Data Scientist,Pricesenz,"Broomfield, CO",yes
344,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
345,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
346,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
347,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
348,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
349,Data Scientist,Digitalogy,"New York, NY",yes
350,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
351,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
352,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
353,Data Engineer,FutureSoft IT,"Detroit, MI",yes
354,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
355,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
356,Data Scientist,Kaav inc.,"Dublin, OH",yes
357,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
358,Data Engineer,Accelalpha,"Seattle, WA",yes
359,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
360,Data Scientist,Lakarya,"Arlington, VA",yes
361,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
362,Data Engineer,FutureSoft IT,"Detroit, MI",yes
363,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
364,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
365,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
366,Data Scientist,Kaav inc.,"Dublin, OH",yes
367,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
368,Data Scientist,Jnit Technologies,"Seattle, WA",yes
369,Data Scientist,Pricesenz,"Broomfield, CO",yes
370,Data Science Architect,Themesoft,"Mountain View, CA",yes
371,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
372,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
373,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
374,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
375,Data Engineer,Accelalpha,"Seattle, WA",yes
376,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
377,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
378,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
379,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
380,Data Scientist,Kaav inc.,"Dublin, OH",yes
381,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
382,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
383,Data Engineer,FutureSoft IT,"Detroit, MI",yes
384,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
385,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
386,Data Scientist,Jnit Technologies,"Seattle, WA",yes
387,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
388,Data Scientist,Pricesenz,"Broomfield, CO",yes
389,Data Scientist,Kaav inc.,"Dublin, OH",yes
390,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
391,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
392,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
393,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
394,Data Scientist,Pricesenz,"Broomfield, CO",yes
395,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
396,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
397,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
398,Data Engineer,FutureSoft IT,"Detroit, MI",yes
399,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
400,Data Scientist,Kaav inc.,"Dublin, OH",yes
401,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
402,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
